Timestamp,X Coord 7,X Coord 6,X Coord 5,X Coord 4,X Coord 3,X Coord 2,X Coord 1,X Coord 0,Y Coord 7,Y Coord 6,Y Coord 5,Y Coord 4,Y Coord 3,Y Coord 2,Y Coord 1,Y Coord 0
7244079,2.2059479,2.2269745,2.216034,2.2078094,2.239563,2.2351074,2.2175293,2.2356415,280.9986,271.6713,292.3461,288.25903,272.04825,272.75247,295.9651,276.95593
7244287,2.2059784,2.2269287,2.215973,2.2077637,2.2395325,2.2350311,2.2174835,2.2357788,280.8923,271.72678,292.49768,288.45743,271.76138,272.4973,295.65802,276.93182
7244494,2.205902,2.226883,2.2158966,2.207779,2.2395325,2.23497,2.2174683,2.235672,281.05896,271.74133,292.1466,288.0653,271.84955,272.46057,295.97495,276.77026
7244701,2.2059174,2.2268677,2.215866,2.2077484,2.2395477,2.2349548,2.2174683,2.2356262,280.99036,271.7357,292.38757,288.24152,271.82074,272.54773,295.6207,276.9154
7244908,2.2058716,2.2269287,2.2158508,2.2077484,2.2395172,2.2350922,2.2174072,2.2356262,281.01147,271.83606,292.4935,287.90042,271.7484,272.3826,295.72794,277.12598
7245322,2.2059631,2.227066,2.2158203,2.2077332,2.2393951,2.2351532,2.2173004,2.2358704,281.09543,271.89185,292.23853,288.11807,272.03284,272.5967,295.95236,276.61804
7245530,2.205902,2.2269897,2.215805,2.2077332,2.2393951,2.2351532,2.2172852,2.235672,280.8516,271.83386,292.50485,288.3942,271.87848,272.49487,295.7266,276.78143
7245737,2.2058868,2.227005,2.215805,2.2076416,2.2394257,2.235138,2.2173462,2.2355347,280.9401,271.58282,292.67493,288.10684,271.66553,272.42828,295.84262,276.56073
7245944,2.205841,2.2269135,2.215744,2.2076569,2.23938,2.235077,2.2173767,2.2358398,281.16327,271.8142,292.39273,288.23965,271.77594,272.56577,295.91272,276.84796
7246151,2.2058563,2.2269287,2.2157898,2.2076416,2.2393494,2.2350616,2.2174072,2.235962,280.98328,271.80075,292.4703,288.0849,271.95593,272.47894,295.6235,276.66608
7246358,2.2058105,2.2269592,2.215805,2.2075653,2.2394104,2.2350922,2.2174225,2.2358246,280.94778,271.69794,292.5747,288.21182,271.80667,272.4949,295.93604,277.1782
7246565,2.2057953,2.226883,2.2158966,2.2075806,2.2394104,2.2351074,2.217392,2.2357788,280.9175,271.80563,292.48666,288.17093,271.58148,272.60513,295.56787,276.57278
7246978,2.2058258,2.226883,2.215866,2.2075958,2.23938,2.235077,2.2174377,2.2355957,280.97382,271.89987,292.41394,288.31653,271.92975,272.45187,295.90646,276.57617
7247187,2.2057648,2.226883,2.2158966,2.2075806,2.2393494,2.2351074,2.2176208,2.235611,280.8688,271.787,292.48956,288.05594,271.97546,272.63806,295.8134,277.12488
7247394,2.2057953,2.226883,2.215866,2.2075806,2.2393646,2.2350311,2.217575,2.2356873,280.8775,271.99106,292.56104,288.0474,271.83978,272.60117,295.70044,276.68158
7247601,2.2058105,2.2268524,2.2158508,2.207672,2.2394257,2.2350311,2.217636,2.2358093,281.06952,271.767,292.47736,288.2021,271.81625,272.33878,295.84998,277.1477
7247808,2.20578,2.2269135,2.2158356,2.207672,2.2394562,2.2350311,2.2175598,2.2356873,280.96307,271.8657,292.27402,288.2044,271.81387,272.40698,295.90872,277.1626
7248016,2.2057648,2.2268982,2.215805,2.2076569,2.2394562,2.2350006,2.2175293,2.2356415,281.01712,271.92712,292.611,288.15598,271.80005,272.38687,295.78845,276.38455
7248223,2.2057495,2.226883,2.2157745,2.2076416,2.2394257,2.2350464,2.217514,2.2357178,280.83527,271.89676,292.32495,288.26883,271.88937,272.45584,295.86758,276.78333
7248636,2.2056885,2.2268982,2.2157898,2.2076874,2.2394867,2.2349396,2.2175293,2.2355957,281.03018,271.82993,292.2146,288.2481,271.69095,272.49838,295.75516,276.68384
7248844,2.2056885,2.2268524,2.2157745,2.207672,2.2395325,2.2349396,2.2174835,2.2357025,281.0702,272.01273,292.28204,288.25818,271.59512,272.738,295.96033,276.97406
7249052,2.2056122,2.2268066,2.2157593,2.207672,2.2395172,2.23497,2.2175293,2.2357025,281.06314,271.97513,292.43533,288.27957,271.73196,272.53894,296.00735,276.7812
7249259,2.2056122,2.2267761,2.215866,2.207672,2.239563,2.23497,2.2174835,2.2356567,281.03513,272.0954,292.37592,288.1206,271.99472,272.4158,295.89368,276.81186
7249466,2.2056122,2.2267914,2.2159119,2.207672,2.239563,2.2349243,2.2175293,2.23555,281.03574,271.97015,292.51288,287.92856,271.80884,272.34497,295.89615,277.17688
7249673,2.205536,2.2267914,2.215866,2.207672,2.2394257,2.2349243,2.2174988,2.2355042,281.09714,271.9078,292.6874,288.10333,272.1264,272.48114,295.75388,276.87582
7250087,2.2055817,2.2267303,2.2157745,2.207611,2.23938,2.2349243,2.2174072,2.2355652,281.0199,271.8672,292.513,288.06567,271.7842,272.42484,295.6591,276.71136
7250294,2.2055817,2.2267303,2.2157593,2.2076263,2.2393188,2.2349548,2.2173462,2.2355652,280.78613,271.73392,292.62802,288.08008,271.75403,272.61157,295.80054,276.69852
7250502,2.2055664,2.226715,2.2157745,2.2076263,2.239334,2.2348938,2.2174225,2.235611,281.12592,271.81146,292.41412,288.2362,271.91104,272.53534,295.7327,276.9857
7250709,2.2054749,2.2266998,2.2157898,2.2075806,2.2394104,2.2348633,2.2174072,2.2357025,281.00098,271.79187,292.3563,288.23627,271.85464,272.5295,295.89447,276.51547
7250916,2.205597,2.2266693,2.2157745,2.207489,2.2394257,2.2349243,2.2173615,2.235611,281.11182,271.90793,292.50818,288.28012,271.76797,272.41467,295.6645,276.97858
7251123,2.205597,2.226715,2.2157593,2.2075043,2.23938,2.2349548,2.2173767,2.2357025,280.89813,271.90363,292.36743,288.15668,271.85303,272.44458,295.87994,276.44406
7251330,2.2055664,2.2267303,2.2157593,2.2074585,2.2394562,2.2350159,2.2173004,2.2355804,280.95508,271.964,292.31613,288.29086,271.85822,272.49976,295.79865,276.90524
7251744,2.2055817,2.2267609,2.2157288,2.2075348,2.23938,2.2350922,2.2173004,2.2358704,280.9533,271.7829,292.45825,288.24078,272.04956,272.4369,296.04736,276.94037
7251952,2.2055817,2.2267303,2.2157288,2.20755,2.2393036,2.235077,2.2173157,2.2357635,281.04095,271.6674,292.37488,288.01263,271.78354,272.58804,295.73944,277.29358
7252159,2.2056122,2.2267456,2.2157135,2.2075043,2.2393188,2.2350159,2.2173004,2.2356873,281.2036,271.83942,292.25726,288.32886,271.78214,272.6991,295.92856,277.00168
7252366,2.2056122,2.2267303,2.2157745,2.2075043,2.2393494,2.2349854,2.2173157,2.2357635,281.13397,271.9712,292.4071,288.1738,271.84332,272.4151,295.86148,276.83
7252573,2.2056427,2.2267456,2.2157593,2.2075958,2.2394104,2.2348938,2.2173157,2.2358246,281.00272,271.77512,292.43362,288.35086,271.8019,272.47446,295.87686,276.51434
7252780,2.2055664,2.2267456,2.2156982,2.2075806,2.2393494,2.2348633,2.2173004,2.2356262,281.17673,271.96957,292.50003,288.21268,271.60626,272.35754,295.95883,277.0609
7252988,2.20549,2.2266693,2.2156677,2.2075348,2.2394257,2.2349243,2.2173615,2.235794,280.9419,271.79663,292.55386,288.18677,272.02374,272.45557,295.85843,277.0453
7253402,2.205429,2.2267303,2.2157135,2.2075195,2.2394104,2.2349243,2.2173615,2.2358704,281.10284,272.0492,292.53482,288.26968,271.81784,272.50565,295.7948,277.2166
7253609,2.205429,2.2266998,2.2156677,2.207489,2.2394104,2.2348785,2.2173615,2.2357025,281.0244,272.01596,292.47635,288.25922,271.83572,272.63058,295.90115,276.44064
7253816,2.205429,2.2266083,2.2157288,2.2074585,2.2393188,2.2348175,2.217331,2.2355347,280.93066,271.9176,292.29282,288.35233,271.7457,272.4484,295.81128,276.5752
7254023,2.2053833,2.2266388,2.2156982,2.207489,2.2393036,2.2348328,2.2173767,2.2355652,281.08936,271.77472,292.34097,288.34943,271.73856,272.48032,295.8311,276.61932
7254230,2.2053833,2.2266998,2.2157288,2.2075195,2.2393036,2.2348175,2.2173462,2.2355957,281.04547,271.83414,292.41547,288.15857,271.8305,272.32352,295.89758,276.49872
